datetime,Beach Road,Carlton Gore Cycle Counter,Curran Street Road,Curran Street Shared Path,Dominion Rd City Bound,Dominion Road Outbound,East Coast Road,GI TO TAMAKI DR SECTION-1,Grafton Bridge,Grafton Gully,Grafton Road,Great North Rd City Bound,Great Nth Rd Sth Side,Great South Rd (Manukau) NB,Great South Rd (Manukau) SB,HighBrook,Hopetoun Street,Karangahape Road,Lagoon Drive,Lake Rd NB,Lake Road SB New,Mangere Bridge,Mangere Safe Routes,Matakana,NW Cycleway Kingsland,NW Cycleway TeAtatu,Nelson Street,Nelson Street Lightpath bikes 8 loop,Oceanview Rd Waiheke,Orewa Path,Ormiston Rd Sth,Ormiston Road Nth,Pukekohe - Queen St,Quay St Spark Arena,Quay St Spark Arena Shared Pathway,Quay St Totem UZELT,Rankin Ave,SW Shared Path,Saint Lukes Rd NB,Saint Lukes Rd SB,Symonds Street City Bound,Symonds Street Sth Bound,Tamaki Drive EB,Tamaki Drive WB,TeWero Bridge Bike Counter,Twin Streams,Upper Queen Street,Victoria Street West On Rd,Victoria Street West Shared Path,Waterview Unitec Counter
2011-01-03 21:00:00,,,,,,,,,,,,,,0,0,0.0,,,,2.0,,,,,12.0,,,,,1.0,,,,,,,,,,,,,8,,,15.0,,,,
2011-01-03 22:00:00,,,,,,,,,,,,,,0,1,0.0,,,,0.0,,,,,7.0,,,,,0.0,,,,,,,,,,,,,3,,,0.0,,,,
2011-01-03 23:00:00,,,,,,,,,,,,,,0,0,0.0,,,,2.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,,4,,,1.0,,,,
2011-01-04 00:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,1.0,,,,,3.0,,,,,,,,,,,,,0,,,1.0,,,,
2011-01-04 01:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,0.0,,,,,1.0,,,,,,,,,,,,,0,,,0.0,,,,
2011-01-04 02:00:00,,,,,,,,,,,,,,2,0,0.0,,,,0.0,,,,,0.0,,,,,1.0,,,,,,,,,,,,,0,,,0.0,,,,
2011-01-04 03:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0,,,0.0,,,,
2011-01-04 04:00:00,,,,,,,,,,,,,,0,0,0.0,,,,1.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0,,,0.0,,,,
2011-01-04 05:00:00,,,,,,,,,,,,,,1,1,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,3,,,0.0,,,,
2011-01-04 06:00:00,,,,,,,,,,,,,,1,1,0.0,,,,2.0,,,,,1.0,,,,,0.0,,,,,,,,,,,,,29,,,0.0,,,,
2011-01-04 07:00:00,,,,,,,,,,,,,,1,2,0.0,,,,8.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,79,,,12.0,,,,
2011-01-04 08:00:00,,,,,,,,,,,,,,0,1,8.0,,,,27.0,,,,,3.0,,,,,2.0,,,,,,,,,,,,,97,,,5.0,,,,
2011-01-04 09:00:00,,,,,,,,,,,,,,0,1,3.0,,,,23.0,,,,,22.0,,,,,13.0,,,,,,,,,,,,,88,,,12.0,,,,
2011-01-04 10:00:00,,,,,,,,,,,,,,2,2,2.0,,,,18.0,,,,,41.0,,,,,10.0,,,,,,,,,,,,,70,,,11.0,,,,
2011-01-04 11:00:00,,,,,,,,,,,,,,5,2,3.0,,,,17.0,,,,,25.0,,,,,20.0,,,,,,,,,,,,,65,,,19.0,,,,
2011-01-04 12:00:00,,,,,,,,,,,,,,0,7,3.0,,,,10.0,,,,,19.0,,,,,18.0,,,,,,,,,,,,,48,,,40.0,,,,
2011-01-04 13:00:00,,,,,,,,,,,,,,3,1,1.0,,,,7.0,,,,,15.0,,,,,40.0,,,,,,,,,,,,,48,,,36.0,,,,
2011-01-04 14:00:00,,,,,,,,,,,,,,1,4,5.0,,,,10.0,,,,,0.0,,,,,37.0,,,,,,,,,,,,,41,,,0.0,,,,
2011-01-04 15:00:00,,,,,,,,,,,,,,3,1,3.0,,,,7.0,,,,,0.0,,,,,13.0,,,,,,,,,,,,,37,,,0.0,,,,
2011-01-04 16:00:00,,,,,,,,,,,,,,2,4,4.0,,,,6.0,,,,,8.0,,,,,16.0,,,,,,,,,,,,,38,,,21.0,,,,
2011-01-04 17:00:00,,,,,,,,,,,,,,0,0,5.0,,,,6.0,,,,,7.0,,,,,10.0,,,,,,,,,,,,,61,,,10.0,,,,
2011-01-04 18:00:00,,,,,,,,,,,,,,0,0,0.0,,,,8.0,,,,,14.0,,,,,3.0,,,,,,,,,,,,,43,,,23.0,,,,
2011-01-04 19:00:00,,,,,,,,,,,,,,3,0,4.0,,,,3.0,,,,,5.0,,,,,13.0,,,,,,,,,,,,,11,,,17.0,,,,
2011-01-04 20:00:00,,,,,,,,,,,,,,0,0,2.0,,,,5.0,,,,,16.0,,,,,8.0,,,,,,,,,,,,,11,,,63.0,,,,
2011-01-04 21:00:00,,,,,,,,,,,,,,1,0,1.0,,,,7.0,,,,,4.0,,,,,1.0,,,,,,,,,,,,,5,,,37.0,,,,
2011-01-04 22:00:00,,,,,,,,,,,,,,0,0,0.0,,,,2.0,,,,,4.0,,,,,0.0,,,,,,,,,,,,,0,,,0.0,,,,
2011-01-04 23:00:00,,,,,,,,,,,,,,0,0,0.0,,,,2.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,3,,,0.0,,,,
2011-01-05 00:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,3.0,,,,,3.0,,,,,,,,,,,,,4,,,0.0,,,,
2011-01-05 01:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,0.0,,,,,1.0,,,,,,,,,,,,,0,,,1.0,,,,
2011-01-05 02:00:00,,,,,,,,,,,,,,1,0,0.0,,,,0.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,0,,,0.0,,,,
