,Dir(DegT),Speed(m/s)
2011-05-09,142.08333333333331,2.7874999999999996
2011-05-10,104.625,2.275
2011-05-11,46.875,7.2875
2011-05-12,40.58333333333333,3.529166666666667
2011-05-13,154.45833333333334,5.004166666666666
2011-05-14,295.66666666666663,4.683333333333334
2011-05-15,137.0,5.479166666666667
2011-05-16,267.0833333333333,9.925
2011-05-17,259.41666666666663,8.958333333333332
2011-05-18,216.45833333333331,7.029166666666667
2011-05-19,214.875,5.895833333333334
2011-05-20,270.4583333333333,3.0625
2011-05-21,236.16666666666669,3.958333333333333
2011-05-22,262.4583333333333,2.1708333333333334
2011-05-23,146.16666666666669,1.7041666666666666
2011-05-24,85.625,2.6208333333333336
2011-05-25,31.083333333333336,6.741666666666667
2011-05-26,165.70833333333334,4.7124999999999995
2011-05-27,236.45833333333331,4.695833333333333
