,Dir(DegT),Speed(m/s)
2011-08-10,81.2,1.2
2011-08-11,155.8,3.5200000000000005
2011-08-12,53.4,1.06
2011-08-13,142.4,0.9
2011-08-14,216.8,8.66
2011-08-15,240.8,16.380000000000003
2011-08-16,61.8,1.98
2011-08-17,123.0,1.3599999999999999
2011-08-18,175.0,0.9400000000000001
2011-08-19,196.6,1.1
2011-08-20,203.0,1.34
2011-08-21,131.2,1.1400000000000001
2011-08-22,164.8,0.7
2011-08-23,224.8,3.3199999999999994
2011-08-24,244.2,2.14
2011-08-25,208.8,1.56
2011-08-26,45.8,0.76
2011-08-27,274.0,1.6199999999999999
2011-08-28,67.6,1.22
2011-08-29,62.8,2.3800000000000003
2011-08-30,25.0,2.38
2011-08-31,228.0,5.1
2011-09-01,242.8,7.359999999999999
2011-09-02,261.0,2.62
2011-09-03,219.0,4.62
2011-09-04,210.4,5.34
2011-09-05,177.8,0.41999999999999993
2011-09-06,84.8,0.9199999999999999
2011-09-07,155.6,0.76
2011-09-08,98.2,0.54
2011-09-09,82.2,1.1400000000000001
2011-09-10,183.2,0.68
2011-09-11,42.4,9.540000000000001
2011-09-12,290.6,6.360000000000001
2011-09-13,232.4,12.1
2011-09-14,250.8,13.780000000000001
2011-09-15,264.0,6.12
2011-09-16,245.2,8.74
2011-09-17,276.6,4.52
2011-09-18,209.0,2.04
2011-09-19,126.8,2.2800000000000002
2011-09-20,207.6,10.4
2011-09-21,149.4,1.44
2011-09-22,205.0,1.92
2011-09-23,179.6,0.7
2011-09-24,150.4,0.9799999999999999
2011-09-25,206.8,2.54
2011-09-26,220.0,6.08
2011-09-27,68.8,0.6199999999999999
2011-09-28,116.6,0.68
2011-09-29,128.2,1.92
2011-09-30,103.6,1.8
2011-10-01,65.2,4.82
2011-10-02,35.0,9.04
2011-10-03,34.8,8.920000000000002
2011-10-04,222.6,1.94
2011-10-05,57.0,3.7
2011-10-06,102.8,1.44
2011-10-07,216.4,5.18
2011-10-08,228.4,4.4799999999999995
2011-10-09,187.2,1.1
2011-10-10,53.4,4.840000000000001
2011-10-11,50.8,3.34
2011-10-12,20.2,6.88
2011-10-13,151.2,1.9
2011-10-14,282.0,4.659999999999999
2011-10-15,271.2,1.7599999999999998
2011-10-16,219.2,3.0799999999999996
2011-10-17,56.0,2.82
2011-10-18,256.0,7.340000000000001
2011-10-19,349.8,5.220000000000001
2011-10-20,192.2,5.18
2011-10-21,237.4,10.34
2011-10-22,231.6,8.32
2011-10-23,212.0,2.54
2011-10-24,141.6,1.3599999999999999
2011-10-25,234.0,2.8
2011-10-26,334.6,1.8599999999999999
2011-10-27,324.6,2.4400000000000004
2011-10-28,43.8,4.380000000000001
2011-10-29,122.0,2.14
2011-10-30,74.2,2.3600000000000003
2011-10-31,98.4,2.66
2011-11-01,58.0,4.4399999999999995
2011-11-02,316.2,4.14
2011-11-03,273.2,5.38
2011-11-04,239.6,7.660000000000001
2011-11-05,229.8,6.180000000000001
2011-11-06,250.4,6.2
2011-11-07,227.8,5.5600000000000005
2011-11-08,228.2,4.5200000000000005
2011-11-09,229.6,6.220000000000001
2011-11-10,239.0,11.940000000000001
2011-11-11,214.8,2.1
2011-11-12,246.2,2.28
2011-11-13,222.4,5.58
2011-11-14,210.2,4.359999999999999
2011-11-15,139.4,1.4
2011-11-16,320.8,4.840000000000001
2011-11-17,225.8,5.540000000000001
2011-11-18,232.8,8.580000000000002
2011-11-19,222.0,9.06
2011-11-20,235.4,7.739999999999999
2011-11-21,271.8,7.9799999999999995
2011-11-22,238.4,6.840000000000001
2011-11-23,210.2,2.0200000000000005
2011-11-24,271.4,11.099999999999998
2011-11-25,229.4,11.24
2011-11-26,235.4,11.139999999999999
2011-11-27,207.6,4.319999999999999
2011-11-28,337.6,2.04
2011-11-29,249.4,6.4799999999999995
2011-11-30,61.4,5.32
2011-12-01,66.6,4.640000000000001
2011-12-02,126.4,2.32
2011-12-03,53.6,4.220000000000001
2011-12-04,41.2,7.419999999999999
2011-12-05,109.0,0.8800000000000001
2011-12-06,141.8,3.6599999999999993
2011-12-07,307.8,6.8
2011-12-08,220.2,5.28
2011-12-09,60.8,1.86
2011-12-10,62.8,5.220000000000001
2011-12-11,64.4,6.340000000000001
2011-12-12,49.8,6.08
2011-12-13,56.6,5.26
2011-12-14,41.6,8.54
2011-12-15,46.0,9.66
2011-12-16,215.2,2.1799999999999997
2011-12-17,324.2,3.66
2011-12-18,138.6,3.4200000000000004
2011-12-19,136.8,2.2600000000000002
2011-12-20,69.4,1.92
2011-12-21,65.6,1.9200000000000004
2011-12-22,90.4,0.9800000000000001
2011-12-23,55.4,3.9200000000000004
2011-12-24,102.0,1.8199999999999998
2011-12-25,224.2,1.26
2011-12-26,95.8,1.7
2011-12-27,77.4,3.0
2011-12-28,64.2,5.18
2011-12-29,48.2,8.4
2011-12-30,45.4,7.42
2011-12-31,14.6,5.380000000000001
2012-01-01,80.6,4.68
2012-01-02,231.2,10.82
2012-01-03,73.2,1.7
2012-01-04,25.8,3.6
2012-01-05,177.6,1.9400000000000002
2012-01-06,95.0,1.3
2012-01-07,140.6,2.72
2012-01-08,191.0,5.619999999999999
2012-01-09,57.0,4.9
2012-01-10,336.2,3.4799999999999995
2012-01-11,339.8,1.64
2012-01-12,200.4,2.4
2012-01-13,305.2,5.779999999999999
2012-01-14,297.4,3.6599999999999993
2012-01-15,313.8,3.5400000000000005
2012-01-16,232.6,5.619999999999999
2012-01-17,103.6,1.6800000000000002
2012-01-18,57.2,2.3600000000000003
2012-01-19,324.2,1.98
2012-01-20,287.2,3.84
2012-01-21,215.4,3.9
2012-01-22,258.2,3.1199999999999997
2012-01-23,187.8,4.9399999999999995
2012-01-24,171.8,2.3600000000000003
2012-01-25,220.0,4.779999999999999
2012-01-26,219.0,2.1
2012-01-27,306.2,4.7
2012-01-28,144.8,2.8
2012-01-29,231.8,8.32
2012-01-30,166.2,2.0200000000000005
2012-01-31,39.6,2.96
2012-02-01,289.4,3.0599999999999996
2012-02-02,210.0,2.44
2012-02-03,43.4,5.760000000000001
2012-02-04,75.0,3.08
2012-02-05,105.0,2.28
2012-02-06,119.4,2.84
2012-02-07,149.0,1.56
2012-02-08,141.2,1.1199999999999999
2012-02-09,321.4,1.6
2012-02-10,286.6,1.34
2012-02-11,276.4,2.18
2012-02-12,153.4,0.6399999999999999
2012-02-13,30.0,1.2399999999999998
2012-02-14,224.0,1.5
2012-02-15,316.2,2.46
2012-02-16,86.4,1.58
2012-02-17,77.6,1.52
2012-02-18,148.6,0.8400000000000001
2012-02-19,113.4,0.8400000000000001
2012-02-20,68.2,1.8799999999999997
2012-02-21,86.0,1.9
2012-02-22,32.0,5.96
2012-02-23,22.6,5.319999999999999
2012-02-24,230.0,5.4799999999999995
2012-02-25,217.4,8.02
2012-02-26,151.6,1.1800000000000002
2012-02-27,128.2,1.5
2012-02-28,168.2,1.9200000000000004
2012-02-29,203.0,1.94
2012-03-01,195.8,8.96
2012-03-02,240.4,6.459999999999999
2012-03-03,259.6,12.2
2012-03-04,170.8,2.2399999999999998
2012-03-05,183.4,0.7000000000000001
2012-03-06,162.4,1.3399999999999999
2012-03-07,136.0,2.86
2012-03-08,144.0,1.86
2012-03-09,162.4,2.1
2012-03-10,106.2,1.2
2012-03-11,52.4,4.08
2012-03-12,200.6,4.720000000000001
2012-03-13,210.2,7.8
2012-03-14,84.2,1.3
2012-03-15,214.6,1.1199999999999999
2012-03-16,87.8,1.1199999999999999
2012-03-17,93.2,2.5200000000000005
2012-03-18,103.6,1.78
2012-03-19,137.4,3.96
2012-03-20,179.8,2.6800000000000006
2012-03-21,56.8,5.18
2012-03-22,29.4,3.1599999999999997
2012-03-23,306.8,2.8600000000000003
2012-03-24,42.0,3.44
2012-03-25,139.6,6.42
2012-03-26,220.2,7.080000000000001
2012-03-27,225.2,0.72
2012-03-28,115.6,1.22
2012-03-29,189.0,1.28
2012-03-30,185.8,1.6
2012-03-31,98.4,0.86
2012-04-01,117.0,2.2800000000000002
2012-04-02,125.4,3.88
2012-04-03,127.2,4.4799999999999995
2012-04-04,175.4,2.56
2012-04-05,161.8,2.1
2012-04-06,137.8,1.94
2012-04-07,254.0,1.02
2012-04-08,179.6,2.34
2012-04-09,203.2,2.84
2012-04-10,265.4,0.62
2012-04-11,41.6,1.6199999999999999
2012-04-12,256.2,4.5600000000000005
2012-04-13,217.8,7.12
2012-04-14,220.0,6.5600000000000005
2012-04-15,76.0,1.08
2012-04-16,106.2,0.8799999999999999
2012-04-17,130.0,1.54
