,Amount(Hrs)
2013-05-08,0.1625
2013-05-09,0.0
2013-05-10,0.2
2013-05-11,0.3833333333333333
2013-05-12,0.5708333333333333
2013-05-13,0.5541666666666667
2013-05-14,0.0
2013-05-15,0.049999999999999996
2013-05-16,0.375
2013-05-17,0.0
2013-05-18,0.08333333333333333
2013-05-19,0.30416666666666664
2013-05-20,0.19166666666666665
2013-05-21,0.04583333333333334
2013-05-22,0.05
2013-05-23,0.2125
2013-05-24,0.3375
2013-05-25,0.0
2013-05-26,0.19583333333333336
2013-05-27,0.1625
2013-05-28,0.0
2013-05-29,0.4083333333333333
2013-05-30,0.25
2013-05-31,0.08333333333333333
2013-06-01,0.1625
2013-06-02,0.09166666666666667
2013-06-03,0.08333333333333333
2013-06-04,0.0
2013-06-05,0.1375
2013-06-06,0.4625
2013-06-07,0.0
2013-06-08,0.3208333333333333
2013-06-09,0.06666666666666667
2013-06-10,0.275
2013-06-11,0.06666666666666667
2013-06-12,0.1375
2013-06-13,0.2875
2013-06-14,0.11666666666666665
2013-06-15,0.0
2013-06-16,0.0
2013-06-17,0.049999999999999996
2013-06-18,0.1375
2013-06-19,0.0
2013-06-20,0.14583333333333331
2013-06-21,0.32916666666666666
2013-06-22,0.22083333333333335
2013-06-23,0.12083333333333332
2013-06-24,0.26249999999999996
2013-06-25,0.175
2013-06-26,0.0375
2013-06-27,0.0
2013-06-28,0.35000000000000003
2013-06-29,0.3833333333333333
2013-06-30,0.23333333333333334
2013-07-01,0.4
2013-07-02,0.0
2013-07-03,0.0
2013-07-04,0.2583333333333333
2013-07-05,0.0
2013-07-06,0.029166666666666667
2013-07-07,0.45416666666666666
2013-07-08,0.275
2013-07-09,0.22083333333333335
2013-07-10,0.10833333333333334
2013-07-11,0.0875
2013-07-12,0.19166666666666665
2013-07-13,0.3333333333333333
2013-07-14,0.1
2013-07-15,0.43333333333333335
2013-07-16,0.5291666666666667
2013-07-17,0.0
2013-07-18,0.0
2013-07-19,0.03333333333333333
2013-07-20,0.15
2013-07-21,0.16666666666666669
2013-07-22,0.0
2013-07-23,0.10000000000000002
2013-07-24,0.0
2013-07-25,0.47916666666666674
2013-07-26,0.3208333333333333
2013-07-27,0.0125
2013-07-28,0.25
2013-07-29,0.4166666666666667
2013-07-30,0.13333333333333333
2013-07-31,0.1625
2013-08-01,0.016666666666666666
2013-08-02,0.0
2013-08-03,0.0125
2013-08-04,0.11666666666666665
2013-08-05,0.3458333333333333
2013-08-06,0.525
2013-08-07,0.5375000000000001
2013-08-08,0.5499999999999999
2013-08-09,0.5708333333333333
2013-08-10,0.0
2013-08-11,0.12916666666666665
2013-08-12,0.21666666666666665
2013-08-13,0.10416666666666666
2013-08-14,0.4291666666666667
2013-08-15,0.037500000000000006
2013-08-16,0.0
2013-08-17,0.1625
2013-08-18,0.49583333333333335
2013-08-19,0.0
2013-08-20,0.12916666666666665
2013-08-21,0.0
2013-08-22,0.6375
2013-08-23,0.42500000000000004
2013-08-24,0.3666666666666667
2013-08-25,0.09999999999999999
2013-08-26,0.2833333333333334
2013-08-27,0.26666666666666666
2013-08-28,0.2625
2013-08-29,0.18333333333333335
2013-08-30,0.4541666666666667
2013-08-31,0.5791666666666667
2013-09-01,0.35000000000000003
2013-09-02,0.6833333333333333
2013-09-03,0.7333333333333334
2013-09-04,0.0375
2013-09-05,0.39999999999999997
2013-09-06,0.6125
2013-09-07,0.30833333333333335
2013-09-08,0.22083333333333333
2013-09-09,0.5708333333333333
2013-09-10,0.30833333333333335
2013-09-11,0.049999999999999996
2013-09-12,0.0
2013-09-13,0.3208333333333333
2013-09-14,0.07916666666666666
2013-09-15,0.4
2013-09-16,0.26666666666666666
2013-09-17,0.39999999999999997
2013-09-18,0.5874999999999999
2013-09-19,0.0
2013-09-20,0.2833333333333334
